,idx,x,y,z,value
0,0,-1.0,-1.0,-1.0,1216.0
1,1,-1.0,-1.0,-0.9166666666666666,1126.921875
2,2,-1.0,-1.0,-0.8333333333333334,1039.8750000000002
3,3,-1.0,-1.0,-0.75,955.140625
4,4,-1.0,-1.0,-0.6666666666666667,873.0000000000002
5,5,-1.0,-1.0,-0.5833333333333334,793.734375
6,6,-1.0,-1.0,-0.5,717.625
7,7,-1.0,-1.0,-0.4166666666666667,644.9531250000001
8,8,-1.0,-1.0,-0.3333333333333333,576.0000000000001
9,9,-1.0,-1.0,-0.25,511.046875
10,10,-1.0,-1.0,-0.1666666666666667,450.3750000000001
11,11,-1.0,-1.0,-0.0833333333333333,394.2656250000001
12,12,-1.0,-1.0,0.0,343.0
13,13,-1.0,-1.0,0.0833333333333332,296.859375
14,14,-1.0,-1.0,0.1666666666666665,256.12500000000006
15,15,-1.0,-1.0,0.25,221.078125
16,16,-1.0,-1.0,0.3333333333333332,192.00000000000009
17,17,-1.0,-1.0,0.4166666666666665,169.17187500000003
18,18,-1.0,-1.0,0.5,152.875
19,19,-1.0,-1.0,0.5833333333333333,143.39062500000003
20,20,-1.0,-1.0,0.6666666666666665,140.99999999999994
21,21,-1.0,-1.0,0.75,145.984375
22,22,-1.0,-1.0,0.8333333333333333,158.62499999999994
23,23,-1.0,-1.0,0.9166666666666664,179.20312499999994
24,24,-1.0,-1.0,1.0,208.0
25,25,-1.0,-0.9166666666666666,-1.0,1126.921875
26,26,-1.0,-0.9166666666666666,-0.9166666666666666,1043.375
27,27,-1.0,-0.9166666666666666,-0.8333333333333334,961.640625
28,28,-1.0,-0.9166666666666666,-0.75,882.0
29,29,-1.0,-0.9166666666666666,-0.6666666666666667,804.734375
30,30,-1.0,-0.9166666666666666,-0.5833333333333334,730.125
31,31,-1.0,-0.9166666666666666,-0.5,658.4531249999999
32,32,-1.0,-0.9166666666666666,-0.4166666666666667,590.0000000000001
33,33,-1.0,-0.9166666666666666,-0.3333333333333333,525.046875
34,34,-1.0,-0.9166666666666666,-0.25,463.8749999999999
35,35,-1.0,-0.9166666666666666,-0.1666666666666667,406.765625
36,36,-1.0,-0.9166666666666666,-0.0833333333333333,353.99999999999994
37,37,-1.0,-0.9166666666666666,0.0,305.85937499999994
38,38,-1.0,-0.9166666666666666,0.0833333333333332,262.625
39,39,-1.0,-0.9166666666666666,0.1666666666666665,224.57812500000009
40,40,-1.0,-0.9166666666666666,0.25,192.0
41,41,-1.0,-0.9166666666666666,0.3333333333333332,165.171875
42,42,-1.0,-0.9166666666666666,0.4166666666666665,144.375
43,43,-1.0,-0.9166666666666666,0.5,129.89062499999997
44,44,-1.0,-0.9166666666666666,0.5833333333333333,121.99999999999996
45,45,-1.0,-0.9166666666666666,0.6666666666666665,120.98437499999996
46,46,-1.0,-0.9166666666666666,0.75,127.12499999999994
47,47,-1.0,-0.9166666666666666,0.8333333333333333,140.70312499999994
48,48,-1.0,-0.9166666666666666,0.9166666666666664,161.99999999999994
49,49,-1.0,-0.9166666666666666,1.0,191.296875
50,50,-1.0,-0.8333333333333334,-1.0,1039.8750000000002
51,51,-1.0,-0.8333333333333334,-0.9166666666666666,961.640625
52,52,-1.0,-0.8333333333333334,-0.8333333333333334,885.0000000000001
53,53,-1.0,-0.8333333333333334,-0.75,810.2343750000001
54,54,-1.0,-0.8333333333333334,-0.6666666666666667,737.6250000000002
55,55,-1.0,-0.8333333333333334,-0.5833333333333334,667.453125
56,56,-1.0,-0.8333333333333334,-0.5,600.0000000000001
57,57,-1.0,-0.8333333333333334,-0.4166666666666667,535.5468750000001
58,58,-1.0,-0.8333333333333334,-0.3333333333333333,474.375
59,59,-1.0,-0.8333333333333334,-0.25,416.7656250000001
60,60,-1.0,-0.8333333333333334,-0.1666666666666667,363.0000000000001
61,61,-1.0,-0.8333333333333334,-0.0833333333333333,313.359375
62,62,-1.0,-0.8333333333333334,0.0,268.125
63,63,-1.0,-0.8333333333333334,0.0833333333333332,227.57812500000009
64,64,-1.0,-0.8333333333333334,0.1666666666666665,192.00000000000009
65,65,-1.0,-0.8333333333333334,0.25,161.671875
66,66,-1.0,-0.8333333333333334,0.3333333333333332,136.87500000000009
67,67,-1.0,-0.8333333333333334,0.4166666666666665,117.890625
68,68,-1.0,-0.8333333333333334,0.5,105.0
69,69,-1.0,-0.8333333333333334,0.5833333333333333,98.48437500000004
70,70,-1.0,-0.8333333333333334,0.6666666666666665,98.625
71,71,-1.0,-0.8333333333333334,0.75,105.70312500000004
72,72,-1.0,-0.8333333333333334,0.8333333333333333,120.0
73,73,-1.0,-0.8333333333333334,0.9166666666666664,141.79687499999991
74,74,-1.0,-0.8333333333333334,1.0,171.375
75,75,-1.0,-0.75,-1.0,955.140625
76,76,-1.0,-0.75,-0.9166666666666666,882.0
77,77,-1.0,-0.75,-0.8333333333333334,810.2343750000001
78,78,-1.0,-0.75,-0.75,740.125
79,79,-1.0,-0.75,-0.6666666666666667,671.9531250000001
80,80,-1.0,-0.75,-0.5833333333333334,606.0
81,81,-1.0,-0.75,-0.5,542.546875
82,82,-1.0,-0.75,-0.4166666666666667,481.875
83,83,-1.0,-0.75,-0.3333333333333333,424.2656250000001
84,84,-1.0,-0.75,-0.25,370.0
85,85,-1.0,-0.75,-0.1666666666666667,319.359375
86,86,-1.0,-0.75,-0.0833333333333333,272.625
87,87,-1.0,-0.75,0.0,230.078125
88,88,-1.0,-0.75,0.0833333333333332,192.0
89,89,-1.0,-0.75,0.1666666666666665,158.67187500000003
90,90,-1.0,-0.75,0.25,130.375
91,91,-1.0,-0.75,0.3333333333333332,107.390625
92,92,-1.0,-0.75,0.4166666666666665,90.00000000000003
93,93,-1.0,-0.75,0.5,78.484375
94,94,-1.0,-0.75,0.5833333333333333,73.12499999999997
95,95,-1.0,-0.75,0.6666666666666665,74.203125
96,96,-1.0,-0.75,0.75,82.0
97,97,-1.0,-0.75,0.8333333333333333,96.796875
98,98,-1.0,-0.75,0.9166666666666664,118.87499999999994
99,99,-1.0,-0.75,1.0,148.515625
100,100,-1.0,-0.6666666666666667,-1.0,873.0
101,101,-1.0,-0.6666666666666667,-0.9166666666666666,804.734375
102,102,-1.0,-0.6666666666666667,-0.8333333333333334,737.6250000000002
103,103,-1.0,-0.6666666666666667,-0.75,671.953125
104,104,-1.0,-0.6666666666666667,-0.6666666666666667,608.0000000000002
105,105,-1.0,-0.6666666666666667,-0.5833333333333334,546.0468750000001
106,106,-1.0,-0.6666666666666667,-0.5,486.375
107,107,-1.0,-0.6666666666666667,-0.4166666666666667,429.2656250000001
108,108,-1.0,-0.6666666666666667,-0.3333333333333333,375.00000000000006
109,109,-1.0,-0.6666666666666667,-0.25,323.8593750000001
110,110,-1.0,-0.6666666666666667,-0.1666666666666667,276.1250000000001
111,111,-1.0,-0.6666666666666667,-0.0833333333333333,232.078125
112,112,-1.0,-0.6666666666666667,0.0,192.0
113,113,-1.0,-0.6666666666666667,0.0833333333333332,156.17187500000009
114,114,-1.0,-0.6666666666666667,0.1666666666666665,124.87500000000006
115,115,-1.0,-0.6666666666666667,0.25,98.390625
116,116,-1.0,-0.6666666666666667,0.3333333333333332,77.00000000000004
117,117,-1.0,-0.6666666666666667,0.4166666666666665,60.98437500000008
118,118,-1.0,-0.6666666666666667,0.5,50.62500000000006
119,119,-1.0,-0.6666666666666667,0.5833333333333333,46.20312500000001
120,120,-1.0,-0.6666666666666667,0.6666666666666665,48.00000000000004
121,121,-1.0,-0.6666666666666667,0.75,56.29687500000004
122,122,-1.0,-0.6666666666666667,0.8333333333333333,71.37500000000001
123,123,-1.0,-0.6666666666666667,0.9166666666666664,93.515625
124,124,-1.0,-0.6666666666666667,1.0,123.00000000000006
125,125,-1.0,-0.5833333333333334,-1.0,793.7343750000002
126,126,-1.0,-0.5833333333333334,-0.9166666666666666,730.1250000000001
127,127,-1.0,-0.5833333333333334,-0.8333333333333334,667.4531250000001
128,128,-1.0,-0.5833333333333334,-0.75,606.0
129,129,-1.0,-0.5833333333333334,-0.6666666666666667,546.0468750000001
130,130,-1.0,-0.5833333333333334,-0.5833333333333334,487.8750000000001
131,131,-1.0,-0.5833333333333334,-0.5,431.765625
132,132,-1.0,-0.5833333333333334,-0.4166666666666667,378.00000000000006
133,133,-1.0,-0.5833333333333334,-0.3333333333333333,326.85937500000006
134,134,-1.0,-0.5833333333333334,-0.25,278.625
135,135,-1.0,-0.5833333333333334,-0.1666666666666667,233.57812500000009
136,136,-1.0,-0.5833333333333334,-0.0833333333333333,192.0
137,137,-1.0,-0.5833333333333334,0.0,154.171875
138,138,-1.0,-0.5833333333333334,0.0833333333333332,120.37500000000004
139,139,-1.0,-0.5833333333333334,0.1666666666666665,90.89062500000004
140,140,-1.0,-0.5833333333333334,0.25,66.00000000000001
141,141,-1.0,-0.5833333333333334,0.3333333333333332,45.984375
142,142,-1.0,-0.5833333333333334,0.4166666666666665,31.125000000000018
143,143,-1.0,-0.5833333333333334,0.5,21.703125000000018
144,144,-1.0,-0.5833333333333334,0.5833333333333333,18.000000000000007
145,145,-1.0,-0.5833333333333334,0.6666666666666665,20.296875000000004
146,146,-1.0,-0.5833333333333334,0.75,28.87500000000003
147,147,-1.0,-0.5833333333333334,0.8333333333333333,44.015625
148,148,-1.0,-0.5833333333333334,0.9166666666666664,65.99999999999997
149,149,-1.0,-0.5833333333333334,1.0,95.109375
150,150,-1.0,-0.5,-1.0,717.625
151,151,-1.0,-0.5,-0.9166666666666666,658.4531249999999
152,152,-1.0,-0.5,-0.8333333333333334,600.0
153,153,-1.0,-0.5,-0.75,542.546875
154,154,-1.0,-0.5,-0.6666666666666667,486.37500000000006
155,155,-1.0,-0.5,-0.5833333333333334,431.765625
156,156,-1.0,-0.5,-0.5,379.0
157,157,-1.0,-0.5,-0.4166666666666667,328.35937500000006
158,158,-1.0,-0.5,-0.3333333333333333,280.125
159,159,-1.0,-0.5,-0.25,234.578125
160,160,-1.0,-0.5,-0.1666666666666667,192.00000000000009
161,161,-1.0,-0.5,-0.0833333333333333,152.671875
162,162,-1.0,-0.5,0.0,116.875
163,163,-1.0,-0.5,0.0833333333333332,84.89062500000003
164,164,-1.0,-0.5,0.1666666666666665,57.000000000000014
165,165,-1.0,-0.5,0.25,33.484375
166,166,-1.0,-0.5,0.3333333333333332,14.625000000000012
167,167,-1.0,-0.5,0.4166666666666665,0.7031250000000142
168,168,-1.0,-0.5,0.5,-8.0
169,169,-1.0,-0.5,0.5833333333333333,-11.203125
170,170,-1.0,-0.5,0.6666666666666665,-8.624999999999998
171,171,-1.0,-0.5,0.75,0.015625
172,172,-1.0,-0.5,0.8333333333333333,14.999999999999975
173,173,-1.0,-0.5,0.9166666666666664,36.60937499999994
174,174,-1.0,-0.5,1.0,65.125
175,175,-1.0,-0.4166666666666667,-1.0,644.9531250000001
176,176,-1.0,-0.4166666666666667,-0.9166666666666666,590.0000000000001
177,177,-1.0,-0.4166666666666667,-0.8333333333333334,535.5468750000001
178,178,-1.0,-0.4166666666666667,-0.75,481.875
179,179,-1.0,-0.4166666666666667,-0.6666666666666667,429.265625
180,180,-1.0,-0.4166666666666667,-0.5833333333333334,378.00000000000006
181,181,-1.0,-0.4166666666666667,-0.5,328.35937500000006
182,182,-1.0,-0.4166666666666667,-0.4166666666666667,280.6250000000001
183,183,-1.0,-0.4166666666666667,-0.3333333333333333,235.07812500000009
184,184,-1.0,-0.4166666666666667,-0.25,192.00000000000009
185,185,-1.0,-0.4166666666666667,-0.1666666666666667,151.67187500000009
186,186,-1.0,-0.4166666666666667,-0.0833333333333333,114.375
187,187,-1.0,-0.4166666666666667,0.0,80.39062500000003
188,188,-1.0,-0.4166666666666667,0.0833333333333332,50.00000000000005
189,189,-1.0,-0.4166666666666667,0.1666666666666665,23.484375000000064
190,190,-1.0,-0.4166666666666667,0.25,1.1250000000000355
191,191,-1.0,-0.4166666666666667,0.3333333333333332,-16.796874999999964
192,192,-1.0,-0.4166666666666667,0.4166666666666665,-29.99999999999997
193,193,-1.0,-0.4166666666666667,0.5,-38.203124999999964
194,194,-1.0,-0.4166666666666667,0.5833333333333333,-41.125
195,195,-1.0,-0.4166666666666667,0.6666666666666665,-38.48437499999999
196,196,-1.0,-0.4166666666666667,0.75,-29.999999999999943
197,197,-1.0,-0.4166666666666667,0.8333333333333333,-15.390625
198,198,-1.0,-0.4166666666666667,0.9166666666666664,5.624999999999977
199,199,-1.0,-0.4166666666666667,1.0,33.32812500000003
200,200,-1.0,-0.3333333333333333,-1.0,576.0000000000001
201,201,-1.0,-0.3333333333333333,-0.9166666666666666,525.046875
202,202,-1.0,-0.3333333333333333,-0.8333333333333334,474.375
203,203,-1.0,-0.3333333333333333,-0.75,424.2656250000001
204,204,-1.0,-0.3333333333333333,-0.6666666666666667,375.0
205,205,-1.0,-0.3333333333333333,-0.5833333333333334,326.85937500000006
206,206,-1.0,-0.3333333333333333,-0.5,280.125
207,207,-1.0,-0.3333333333333333,-0.4166666666666667,235.07812500000009
208,208,-1.0,-0.3333333333333333,-0.3333333333333333,192.00000000000009
209,209,-1.0,-0.3333333333333333,-0.25,151.17187500000006
210,210,-1.0,-0.3333333333333333,-0.1666666666666667,112.87500000000006
211,211,-1.0,-0.3333333333333333,-0.0833333333333333,77.39062500000003
212,212,-1.0,-0.3333333333333333,0.0,45.00000000000002
213,213,-1.0,-0.3333333333333333,0.0833333333333332,15.984375000000044
214,214,-1.0,-0.3333333333333333,0.1666666666666665,-9.374999999999936
215,215,-1.0,-0.3333333333333333,0.25,-30.796874999999982
216,216,-1.0,-0.3333333333333333,0.3333333333333332,-47.999999999999964
217,217,-1.0,-0.3333333333333333,0.4166666666666665,-60.70312499999996
218,218,-1.0,-0.3333333333333333,0.5,-68.62499999999999
219,219,-1.0,-0.3333333333333333,0.5833333333333333,-71.48437499999999
220,220,-1.0,-0.3333333333333333,0.6666666666666665,-68.99999999999999
221,221,-1.0,-0.3333333333333333,0.75,-60.89062499999997
222,222,-1.0,-0.3333333333333333,0.8333333333333333,-46.875
223,223,-1.0,-0.3333333333333333,0.9166666666666664,-26.67187500000004
224,224,-1.0,-0.3333333333333333,1.0,2.9753977059954195e-14
225,225,-1.0,-0.25,-1.0,511.046875
226,226,-1.0,-0.25,-0.9166666666666666,463.875
227,227,-1.0,-0.25,-0.8333333333333334,416.765625
228,228,-1.0,-0.25,-0.75,370.0
229,229,-1.0,-0.25,-0.6666666666666667,323.8593750000001
230,230,-1.0,-0.25,-0.5833333333333334,278.62500000000006
231,231,-1.0,-0.25,-0.5,234.578125
232,232,-1.0,-0.25,-0.4166666666666667,192.00000000000009
233,233,-1.0,-0.25,-0.3333333333333333,151.17187500000006
234,234,-1.0,-0.25,-0.25,112.375
235,235,-1.0,-0.25,-0.1666666666666667,75.89062500000006
236,236,-1.0,-0.25,-0.0833333333333333,42.00000000000002
237,237,-1.0,-0.25,0.0,10.984375
238,238,-1.0,-0.25,0.0833333333333332,-16.874999999999975
239,239,-1.0,-0.25,0.1666666666666665,-41.29687499999998
240,240,-1.0,-0.25,0.25,-62.0
241,241,-1.0,-0.25,0.3333333333333332,-78.70312499999999
242,242,-1.0,-0.25,0.4166666666666665,-91.12499999999996
243,243,-1.0,-0.25,0.5,-98.984375
244,244,-1.0,-0.25,0.5833333333333333,-102.0
245,245,-1.0,-0.25,0.6666666666666665,-99.890625
246,246,-1.0,-0.25,0.75,-92.375
247,247,-1.0,-0.25,0.8333333333333333,-79.17187500000003
248,248,-1.0,-0.25,0.9166666666666664,-60.00000000000006
249,249,-1.0,-0.25,1.0,-34.578125
250,250,-1.0,-0.1666666666666667,-1.0,450.3750000000001
251,251,-1.0,-0.1666666666666667,-0.9166666666666666,406.7656250000001
252,252,-1.0,-0.1666666666666667,-0.8333333333333334,363.0000000000001
253,253,-1.0,-0.1666666666666667,-0.75,319.359375
254,254,-1.0,-0.1666666666666667,-0.6666666666666667,276.1250000000001
255,255,-1.0,-0.1666666666666667,-0.5833333333333334,233.57812500000009
256,256,-1.0,-0.1666666666666667,-0.5,192.00000000000009
257,257,-1.0,-0.1666666666666667,-0.4166666666666667,151.67187500000009
258,258,-1.0,-0.1666666666666667,-0.3333333333333333,112.87500000000006
259,259,-1.0,-0.1666666666666667,-0.25,75.89062500000006
260,260,-1.0,-0.1666666666666667,-0.1666666666666667,41.00000000000008
261,261,-1.0,-0.1666666666666667,-0.0833333333333333,8.484375000000043
262,262,-1.0,-0.1666666666666667,0.0,-21.374999999999964
263,263,-1.0,-0.1666666666666667,0.0833333333333332,-48.296874999999936
264,264,-1.0,-0.1666666666666667,0.1666666666666665,-71.99999999999991
265,265,-1.0,-0.1666666666666667,0.25,-92.20312499999996
266,266,-1.0,-0.1666666666666667,0.3333333333333332,-108.62499999999996
267,267,-1.0,-0.1666666666666667,0.4166666666666665,-120.98437499999994
268,268,-1.0,-0.1666666666666667,0.5,-128.99999999999997
269,269,-1.0,-0.1666666666666667,0.5833333333333333,-132.39062499999997
270,270,-1.0,-0.1666666666666667,0.6666666666666665,-130.87499999999997
271,271,-1.0,-0.1666666666666667,0.75,-124.17187499999996
272,272,-1.0,-0.1666666666666667,0.8333333333333333,-111.99999999999996
273,273,-1.0,-0.1666666666666667,0.9166666666666664,-94.07812500000004
274,274,-1.0,-0.1666666666666667,1.0,-70.12499999999996
275,275,-1.0,-0.0833333333333333,-1.0,394.2656250000001
276,276,-1.0,-0.0833333333333333,-0.9166666666666666,353.99999999999994
277,277,-1.0,-0.0833333333333333,-0.8333333333333334,313.35937500000006
278,278,-1.0,-0.0833333333333333,-0.75,272.625
279,279,-1.0,-0.0833333333333333,-0.6666666666666667,232.078125
280,280,-1.0,-0.0833333333333333,-0.5833333333333334,192.0
281,281,-1.0,-0.0833333333333333,-0.5,152.671875
282,282,-1.0,-0.0833333333333333,-0.4166666666666667,114.375
283,283,-1.0,-0.0833333333333333,-0.3333333333333333,77.39062500000006
284,284,-1.0,-0.0833333333333333,-0.25,42.00000000000002
285,285,-1.0,-0.0833333333333333,-0.1666666666666667,8.484375000000044
286,286,-1.0,-0.0833333333333333,-0.0833333333333333,-22.874999999999968
287,287,-1.0,-0.0833333333333333,0.0,-51.79687499999999
288,288,-1.0,-0.0833333333333333,0.0833333333333332,-77.99999999999997
289,289,-1.0,-0.0833333333333333,0.1666666666666665,-101.20312499999994
290,290,-1.0,-0.0833333333333333,0.25,-121.125
291,291,-1.0,-0.0833333333333333,0.3333333333333332,-137.48437499999997
